.artifacts/analysis-2025/01-SCAN-RESULTS.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/10-pre-deployment-staging.md | reference | References ai-driven-workflow/10-pre-deployment-staging.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/11-production-deployment.md | reference | References ai-driven-workflow/11-production-deployment.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/12-monitoring-observability.md | reference | References ai-driven-workflow/12-monitoring-observability.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/13-incident-response-rollback.md | reference | References ai-driven-workflow/13-incident-response-rollback.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/14-performance-optimization.md | reference | References ai-driven-workflow/14-performance-optimization.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/15-uat-coordination.md | reference | References ai-driven-workflow/15-uat-coordination.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/16-documentation-knowledge-transfer.md | reference | References ai-driven-workflow/16-documentation-knowledge-transfer.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/17-project-closure.md | reference | References ai-driven-workflow/17-project-closure.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/18-maintenance-support.md | reference | References ai-driven-workflow/18-maintenance-support.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/6-technical-design-architecture.md | reference | References ai-driven-workflow/6-technical-design-architecture.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/7-environment-setup-validation.md | reference | References ai-driven-workflow/7-environment-setup-validation.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/7-performance-optimization.md | reference | References ai-driven-workflow/7-performance-optimization.md
generators/GENERATOR-SYSTEM-SUMMARY.md → ai-driven-workflow/9-integration-testing.md | reference | References ai-driven-workflow/9-integration-testing.md
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-generator-instructions.md | reference | Mentions protocol protocol-generator-instructions.md
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-10-staging.yaml | reference | Mentions protocol protocol-input-form-10-staging.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-11-deployment.yaml | reference | Mentions protocol protocol-input-form-11-deployment.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-12-monitoring.yaml | reference | Mentions protocol protocol-input-form-12-monitoring.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-13-incident.yaml | reference | Mentions protocol protocol-input-form-13-incident.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-14-performance.yaml | reference | Mentions protocol protocol-input-form-14-performance.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-15-uat.yaml | reference | Mentions protocol protocol-input-form-15-uat.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-16-documentation.yaml | reference | Mentions protocol protocol-input-form-16-documentation.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-17-closure.yaml | reference | Mentions protocol protocol-input-form-17-closure.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-18-maintenance.yaml | reference | Mentions protocol protocol-input-form-18-maintenance.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-6-technical-design.yaml | reference | Mentions protocol protocol-input-form-6-technical-design.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-7-environment.yaml | reference | Mentions protocol protocol-input-form-7-environment.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form-9-integration.yaml | reference | Mentions protocol protocol-input-form-9-integration.yaml
generators/GENERATOR-SYSTEM-SUMMARY.md → protocol-input-form.yaml | reference | Mentions protocol protocol-input-form.yaml
generators/GENERATORS-INDEX.md → .cursor/ai-driven- | reference | References .cursor/ai-driven-
generators/GENERATORS-INDEX.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
generators/GENERATORS-INDEX.md → protocol-generator-instructions.md | reference | Mentions protocol protocol-generator-instructions.md
generators/GENERATORS-INDEX.md → protocol-input-form-10-staging.yaml | reference | Mentions protocol protocol-input-form-10-staging.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-11-deployment.yaml | reference | Mentions protocol protocol-input-form-11-deployment.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-12-monitoring.yaml | reference | Mentions protocol protocol-input-form-12-monitoring.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-13-incident.yaml | reference | Mentions protocol protocol-input-form-13-incident.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-14-performance.yaml | reference | Mentions protocol protocol-input-form-14-performance.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-15-uat.yaml | reference | Mentions protocol protocol-input-form-15-uat.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-16-documentation.yaml | reference | Mentions protocol protocol-input-form-16-documentation.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-17-closure.yaml | reference | Mentions protocol protocol-input-form-17-closure.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-18-maintenance.yaml | reference | Mentions protocol protocol-input-form-18-maintenance.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-6-technical-design.yaml | reference | Mentions protocol protocol-input-form-6-technical-design.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-7-environment.yaml | reference | Mentions protocol protocol-input-form-7-environment.yaml
generators/GENERATORS-INDEX.md → protocol-input-form-9-integration.yaml | reference | Mentions protocol protocol-input-form-9-integration.yaml
generators/GENERATORS-INDEX.md → protocol-input-form.yaml | reference | Mentions protocol protocol-input-form.yaml
generators/QUICK-START-GENERATORS.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
generators/QUICK-START-GENERATORS.md → .cursor/ai-driven-workflow/0-bootstrap-your-project.md | reference | References .cursor/ai-driven-workflow/0-bootstrap-your-project.md
generators/QUICK-START-GENERATORS.md → ai-driven-workflow/0-bootstrap-your-project.md | reference | References ai-driven-workflow/0-bootstrap-your-project.md
generators/QUICK-START-GENERATORS.md → protocol-form.yaml | reference | Mentions protocol protocol-form.yaml
generators/QUICK-START-GENERATORS.md → protocol-generator-instructions.md | reference | Mentions protocol protocol-generator-instructions.md
generators/QUICK-START-GENERATORS.md → protocol-input-form.yaml | reference | Mentions protocol protocol-input-form.yaml
generators/README.md → .cursor/ai-driven-workflow/AGENTS.md | reference | References .cursor/ai-driven-workflow/AGENTS.md
generators/README.md → ai-driven-workflow/AGENTS.md | reference | References ai-driven-workflow/AGENTS.md
generators/README.md → protocol-generator-instructions.md | reference | Mentions protocol protocol-generator-instructions.md
generators/README.md → protocol-input-form.yaml | reference | Mentions protocol protocol-input-form.yaml
generators/instruction-creator-usage-guide.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
generators/instruction-creator-usage-guide.md → protocol-generator-instructions-bootstrap.md | reference | Mentions protocol protocol-generator-instructions-bootstrap.md
generators/instruction-creator-usage-guide.md → protocol-generator-instructions-prd.md | reference | Mentions protocol protocol-generator-instructions-prd.md
generators/instruction-creator-usage-guide.md → protocol-generator-instructions-tasks.md | reference | Mentions protocol protocol-generator-instructions-tasks.md
generators/instruction-creator-usage-guide.md → protocol-generator-instructions.md | reference | Mentions protocol protocol-generator-instructions.md
generators/instruction-creator-usage-guide.md → protocol-input-form-bootstrap.yaml | reference | Mentions protocol protocol-input-form-bootstrap.yaml
generators/instruction-creator-usage-guide.md → protocol-input-form-prd.yaml | reference | Mentions protocol protocol-input-form-prd.yaml
generators/instruction-creator-usage-guide.md → protocol-input-form-tasks.yaml | reference | Mentions protocol protocol-input-form-tasks.yaml
generators/protocol-generator-bootstrap-format.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
generators/protocol-generator-bootstrap-format.md → .cursor/protocol-generation/analysis- | reference | References .cursor/protocol-generation/analysis-
generators/protocol-generator-bootstrap-format.md → .cursor/scripts/meta-analysis-generator.py | reference | References .cursor/scripts/meta-analysis-generator.py
generators/protocol-generator-bootstrap-format.md → .cursor/scripts/workflow-integration-validator.py | reference | References .cursor/scripts/workflow-integration-validator.py
generators/protocol-generator-bootstrap-format.md → .cursor/templates/protocol-bootstrap-template.md | reference | References .cursor/templates/protocol-bootstrap-template.md
generators/protocol-generator-bootstrap-format.md → protocol-bootstrap-template.md | reference | Mentions protocol protocol-bootstrap-template.md
generators/protocol-generator-bootstrap-format.md → protocol-input-form.yaml | reference | Mentions protocol protocol-input-form.yaml
generators/protocol-generator-bootstrap-format.md → protocol_input.py | reference | Mentions protocol protocol_input.py
generators/protocol-generator-bootstrap-format.md → scripts/generate_protocol.py | call | Executes scripts/generate_protocol.py
generators/protocol-generator-bootstrap-format.md → scripts/meta_analysis_validator.py | call | Executes scripts/meta_analysis_validator.py
generators/protocol-generator-bootstrap-format.md → scripts/validate_protocol_input.py | call | Executes scripts/validate_protocol_input.py
generators/protocol-generator-instructions-prd.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
generators/protocol-generator-instructions-prd.md → .cursor/ai-driven-workflow/1-create-prd.md | reference | References .cursor/ai-driven-workflow/1-create-prd.md
generators/protocol-generator-instructions-prd.md → ai-driven-workflow/1-create-prd.md | reference | References ai-driven-workflow/1-create-prd.md
generators/protocol-generator-instructions-prd.md → protocol-input-form-prd.yaml | reference | Mentions protocol protocol-input-form-prd.yaml
generators/protocol-generator-instructions-prd.md → scripts/generate_prd_assets.py | call | Executes scripts/generate_prd_assets.py
generators/protocol-generator-instructions-prd.md → scripts/validate_prd_gate.py | call | Executes scripts/validate_prd_gate.py
generators/protocol-generator-instructions.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
generators/protocol-generator-instructions.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
generators/protocol-generator-instructions.md → protocol-input-form.yaml | reference | Mentions protocol protocol-input-form.yaml
generators/protocol-input-form copy.yaml → scripts/assemble_project_brief.py | call | Executes scripts/assemble_project_brief.py
generators/protocol-input-form copy.yaml → scripts/validate_brief_structure.py | call | Executes scripts/validate_brief_structure.py
generators/protocol-input-form copy.yaml → scripts/validate_discovery_inputs.py | call | Executes scripts/validate_discovery_inputs.py
generators/protocol-input-form-11-deployment.yaml → scripts/collect_perf.py | call | Executes scripts/collect_perf.py
generators/protocol-input-form-11-deployment.yaml → scripts/deploy_backend.sh | call | Runs scripts/deploy_backend.sh
generators/protocol-input-form-11-deployment.yaml → scripts/rollback_backend.sh | call | Runs scripts/rollback_backend.sh
generators/protocol-input-form-11-deployment.yaml → scripts/validate_workflows.py | call | Executes scripts/validate_workflows.py
generators/protocol-input-form-12-monitoring.yaml → scripts/aggregate_coverage.py | call | Executes scripts/aggregate_coverage.py
generators/protocol-input-form-12-monitoring.yaml → scripts/collect_perf.py | call | Executes scripts/collect_perf.py
generators/protocol-input-form-12-monitoring.yaml → scripts/workflow_automation.py | call | Executes scripts/workflow_automation.py
generators/protocol-input-form-13-incident.yaml → scripts/restore_workflows.py | call | Executes scripts/restore_workflows.py
generators/protocol-input-form-13-incident.yaml → scripts/retrospective_evidence_report.py | call | Executes scripts/retrospective_evidence_report.py
generators/protocol-input-form-13-incident.yaml → scripts/rollback_backend.sh | call | Runs scripts/rollback_backend.sh
generators/protocol-input-form-13-incident.yaml → scripts/validate_workflows.py | call | Executes scripts/validate_workflows.py
generators/protocol-input-form-16-documentation.yaml → scripts/audit_doc_gaps.py | call | Executes scripts/audit_doc_gaps.py
generators/protocol-input-form-16-documentation.yaml → scripts/generate_doc_portal.py | call | Executes scripts/generate_doc_portal.py
generators/protocol-input-form-16-documentation.yaml → scripts/schedule_enablement.py | call | Executes scripts/schedule_enablement.py
generators/protocol-input-form-16-documentation.yaml → scripts/verify_doc_accuracy.py | call | Executes scripts/verify_doc_accuracy.py
generators/protocol-input-form-17-closure.yaml → scripts/archive_project_assets.py | call | Executes scripts/archive_project_assets.py
generators/protocol-input-form-17-closure.yaml → scripts/notify_stakeholders.py | call | Executes scripts/notify_stakeholders.py
generators/protocol-input-form-17-closure.yaml → scripts/package_handover_assets.py | call | Executes scripts/package_handover_assets.py
generators/protocol-input-form-17-closure.yaml → scripts/track_approvals.py | call | Executes scripts/track_approvals.py
generators/protocol-input-form-18-maintenance.yaml → scripts/activate_maintenance_monitoring.py | call | Executes scripts/activate_maintenance_monitoring.py
generators/protocol-input-form-18-maintenance.yaml → scripts/assess_support_capacity.py | call | Executes scripts/assess_support_capacity.py
generators/protocol-input-form-18-maintenance.yaml → scripts/configure_ticket_routing.py | call | Executes scripts/configure_ticket_routing.py
generators/protocol-input-form-18-maintenance.yaml → scripts/sync_maintenance_backlog.py | call | Executes scripts/sync_maintenance_backlog.py
generators/protocol-input-form-6-technical-design.yaml → scripts/plan_from_brief.py | call | Executes scripts/plan_from_brief.py
generators/protocol-input-form-6-technical-design.yaml → scripts/validate_brief.py | call | Executes scripts/validate_brief.py
generators/protocol-input-form-6-technical-design.yaml → scripts/validate_workflow_integration.py | call | Executes scripts/validate_workflow_integration.py
generators/protocol-input-form-7-environment.yaml → .cursor/context-kit/ | reference | References .cursor/context-kit/
generators/protocol-input-form-7-environment.yaml → scripts/doctor.py | call | Executes scripts/doctor.py
generators/protocol-input-form-7-environment.yaml → scripts/install_and_test.sh | call | Runs scripts/install_and_test.sh
generators/protocol-input-form-7-environment.yaml → scripts/scaffold_phase_artifacts.py | call | Executes scripts/scaffold_phase_artifacts.py
generators/protocol-input-form-7-environment.yaml → scripts/setup.sh | call | Runs scripts/setup.sh
generators/protocol-input-form.yaml → scripts/deployment_validator.py | call | Executes scripts/deployment_validator.py
generators/sample-filled-form.yaml → scripts/deployment_validator.py | call | Executes scripts/deployment_validator.py
generators/sample-filled-form.yaml → scripts/rollback_prepare.py | call | Executes scripts/rollback_prepare.py
generators/sample-filled-form.yaml → scripts/smoke_test_runner.py | call | Executes scripts/smoke_test_runner.py
meta-analysis/FORMATS2.md → .cursor/ai-driven-workflow/0-bootstrap-your-project.md | reference | References .cursor/ai-driven-workflow/0-bootstrap-your-project.md
meta-analysis/FORMATS2.md → ai-driven-workflow/0-bootstrap-your-project.md | reference | References ai-driven-workflow/0-bootstrap-your-project.md
meta-analysis/FORMATS2.md → protocol-generator-instructions-bootstrap.md | reference | Mentions protocol protocol-generator-instructions-bootstrap.md
meta-analysis/FORMATS2.md → protocol-generator-instructions-prd.md | reference | Mentions protocol protocol-generator-instructions-prd.md
meta-analysis/FORMATS2.md → protocol-generator-instructions-tasks.md | reference | Mentions protocol protocol-generator-instructions-tasks.md
meta-analysis/FORMATS2.md → protocol-generator-instructions.md | reference | Mentions protocol protocol-generator-instructions.md
meta-analysis/analysis-02-client-discovery-initiation.md → .cursor/ai-driven-workflow/02-client-discovery-initiation.md | reference | References .cursor/ai-driven-workflow/02-client-discovery-initiation.md
meta-analysis/analysis-02-client-discovery-initiation.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
meta-analysis/analysis-02-client-discovery-initiation.md → ai-driven-workflow/02-client-discovery-initiation.md | reference | References ai-driven-workflow/02-client-discovery-initiation.md
meta-analysis/analysis-06-how-to-create-effective-rules.md → .cursor/rules/ | reference | References .cursor/rules/
meta-analysis/examples/FORMAT-ANALYSIS.md → rules/standards | reference | References rules/standards
meta-analysis/examples/META-FORMATS.md → .cursor/ai-driven-workflow/0-bootstrap-your-project.md | reference | References .cursor/ai-driven-workflow/0-bootstrap-your-project.md
meta-analysis/examples/META-FORMATS.md → ai-driven-workflow/0-bootstrap-your-project.md | reference | References ai-driven-workflow/0-bootstrap-your-project.md
meta-analysis/examples/META-FORMATS.md → protocol-0-bootstrap.md | reference | Mentions protocol protocol-0-bootstrap.md
meta-analysis/examples/README.md → .cursor/tasks/tasks-feature.md | reference | References .cursor/tasks/tasks-feature.md
meta-analysis/examples/README.md → rules/standards | reference | References rules/standards
meta-analysis/examples/README.md → scripts/validate_tasks.py | call | Executes scripts/validate_tasks.py
meta-analysis/protocols/analysis-01-client-proposal-generation.md → .cursor/ai-driven-workflow/01-client-proposal-generation.md | reference | References .cursor/ai-driven-workflow/01-client-proposal-generation.md
meta-analysis/protocols/analysis-01-client-proposal-generation.md → ai-driven-workflow/01-client-proposal-generation.md | reference | References ai-driven-workflow/01-client-proposal-generation.md
meta-analysis/protocols/analysis-02-client-discovery-initiation.md → .cursor/ai-driven-workflow/02-client-discovery-initiation.md | reference | References .cursor/ai-driven-workflow/02-client-discovery-initiation.md
meta-analysis/protocols/analysis-02-client-discovery-initiation.md → ai-driven-workflow/02-client-discovery-initiation.md | reference | References ai-driven-workflow/02-client-discovery-initiation.md
meta-analysis/validator-01-complete-spec.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
meta-analysis/validator-01-complete-spec.md → .cursor/ai-driven-workflow/01-client-proposal-generation.md | reference | References .cursor/ai-driven-workflow/01-client-proposal-generation.md
meta-analysis/validator-01-complete-spec.md → ai-driven-workflow/01-client-proposal-generation.md | reference | References ai-driven-workflow/01-client-proposal-generation.md
meta-analysis/validator-01-complete-spec.md → protocol_identity.py | reference | Mentions protocol protocol_identity.py
meta-analysis/validator-01-complete-spec.md → scripts/validate_protocol_identity.py | call | Executes scripts/validate_protocol_identity.py
meta-analysis/validator-01-improved-spec.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
meta-analysis/validator-01-improved-spec.md → .cursor/ai-driven-workflow/01-client-proposal-generation.md | reference | References .cursor/ai-driven-workflow/01-client-proposal-generation.md
meta-analysis/validator-01-improved-spec.md → ai-driven-workflow/01-client-proposal-generation.md | reference | References ai-driven-workflow/01-client-proposal-generation.md
meta-analysis/validator-01-improved-spec.md → protocol-name.md | reference | Mentions protocol protocol-name.md
meta-analysis/validator-01-improved-spec.md → protocol_identity.py | reference | Mentions protocol protocol_identity.py
meta-analysis/validator-01-improved-spec.md → scripts/validate_protocol_identity.py | call | Executes scripts/validate_protocol_identity.py
meta-analysis/validator-01-improvement-analysis.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
meta-analysis/validator-01-improvement-analysis.md → .cursor/ai-driven-workflow/01-client-proposal-generation.md | reference | References .cursor/ai-driven-workflow/01-client-proposal-generation.md
meta-analysis/validator-01-improvement-analysis.md → ai-driven-workflow/01-client-proposal-generation.md | reference | References ai-driven-workflow/01-client-proposal-generation.md
meta-analysis/validator-01-improvement-analysis.md → protocol-name.md | reference | Mentions protocol protocol-name.md
meta-analysis/validator-01-improvement-analysis.md → protocol_identity.py | reference | Mentions protocol protocol_identity.py
meta-analysis/validator-01-quick-comparison.md → protocol-name.md | reference | Mentions protocol protocol-name.md
project_generator/README.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
project_generator/README.md → .cursor/ai-driven-workflow/01-client-proposal-generation.md | reference | References .cursor/ai-driven-workflow/01-client-proposal-generation.md
project_generator/README.md → .cursor/ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md | reference | References .cursor/ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md
project_generator/README.md → .cursor/ai-driven-workflow/25-protocol-integration-map.md | reference | References .cursor/ai-driven-workflow/25-protocol-integration-map.md
project_generator/README.md → .cursor/ai-driven-workflow/26-integration-guide.md | reference | References .cursor/ai-driven-workflow/26-integration-guide.md
project_generator/README.md → .cursor/ai-driven-workflow/27-validation-guide.md | reference | References .cursor/ai-driven-workflow/27-validation-guide.md
project_generator/README.md → .cursor/ai-driven-workflow/AGENTS.md | reference | References .cursor/ai-driven-workflow/AGENTS.md
project_generator/README.md → .cursor/ai-driven-workflow/review-protocols/ | reference | References .cursor/ai-driven-workflow/review-protocols/
project_generator/README.md → .cursor/commands/ | reference | References .cursor/commands/
project_generator/README.md → .cursor/commands/find-missing.md | reference | References .cursor/commands/find-missing.md
project_generator/README.md → .cursor/rules/common-rules/ | reference | References .cursor/rules/common-rules/
project_generator/README.md → .cursor/rules/master-rules/ | reference | References .cursor/rules/master-rules/
project_generator/README.md → .cursor/rules/project-rules/ | reference | References .cursor/rules/project-rules/
project_generator/README.md → .cursor/session-instructions/ | reference | References .cursor/session-instructions/
project_generator/README.md → .cursor/session-instructions/latest-session-instructions.md | reference | References .cursor/session-instructions/latest-session-instructions.md
project_generator/README.md → ai-driven-workflow/01-client-proposal-generation.md | reference | References ai-driven-workflow/01-client-proposal-generation.md
project_generator/README.md → ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md | reference | References ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md
project_generator/README.md → ai-driven-workflow/25-protocol-integration-map.md | reference | References ai-driven-workflow/25-protocol-integration-map.md
project_generator/README.md → ai-driven-workflow/26-integration-guide.md | reference | References ai-driven-workflow/26-integration-guide.md
project_generator/README.md → ai-driven-workflow/27-validation-guide.md | reference | References ai-driven-workflow/27-validation-guide.md
project_generator/README.md → ai-driven-workflow/AGENTS.md | reference | References ai-driven-workflow/AGENTS.md
project_generator/README.md → ai-driven-workflow/review-protocols/ | reference | References ai-driven-workflow/review-protocols/
project_generator/README.md → protocol-branching-guide.md | reference | Mentions protocol protocol-branching-guide.md
project_generator/README.md → protocol-integration-map-DOCUMENTATION.md | reference | Mentions protocol protocol-integration-map-DOCUMENTATION.md
project_generator/README.md → protocol-integration-map.md | reference | Mentions protocol protocol-integration-map.md
project_generator/README.md → protocol_phase.py | reference | Mentions protocol protocol_phase.py
project_generator/README.md → rules/common-rules/ | reference | References rules/common-rules/
project_generator/README.md → rules/master-rules/ | reference | References rules/master-rules/
project_generator/README.md → rules/project-rules/ | reference | References rules/project-rules/
project_generator/README.md → scripts/analyze_brief.py | call | Executes scripts/analyze_brief.py
project_generator/README.md → scripts/debug_script_integration.py | call | Executes scripts/debug_script_integration.py
project_generator/README.md → scripts/doctor.py | call | Executes scripts/doctor.py
project_generator/README.md → scripts/evidence_report.py | call | Executes scripts/evidence_report.py
project_generator/README.md → scripts/export_validation_results.py | call | Executes scripts/export_validation_results.py
project_generator/README.md → scripts/generate_gap_analysis.py | call | Executes scripts/generate_gap_analysis.py
project_generator/README.md → scripts/generate_readiness_scorecard.py | call | Executes scripts/generate_readiness_scorecard.py
project_generator/README.md → scripts/generate_session_continuation.py | call | Executes scripts/generate_session_continuation.py
project_generator/README.md → scripts/generate_validation_report.py | call | Executes scripts/generate_validation_report.py
project_generator/README.md → scripts/initialize_testing_session.py | call | Executes scripts/initialize_testing_session.py
project_generator/README.md → scripts/load_session_context.py | call | Executes scripts/load_session_context.py
project_generator/README.md → scripts/quality_gates.py | call | Executes scripts/quality_gates.py
project_generator/README.md → scripts/resume_testing_session.py | call | Executes scripts/resume_testing_session.py
project_generator/README.md → scripts/test_protocol.py | call | Executes scripts/test_protocol.py
project_generator/README.md → scripts/test_protocol_phase.py | call | Executes scripts/test_protocol_phase.py
project_generator/README.md → scripts/validate_continuation_instructions.py | call | Executes scripts/validate_continuation_instructions.py
project_generator/README.md → scripts/validate_logic_framework.py | call | Executes scripts/validate_logic_framework.py
project_generator/README.md → scripts/validate_session_continuity.py | call | Executes scripts/validate_session_continuity.py
project_generator/README.md → scripts/verify_readiness_assessment.py | call | Executes scripts/verify_readiness_assessment.py
project_generator/README.md → validators-system/README.md | reference | References validators-system/README.md
project_generator/README.md → validators-system/documentation/VALIDATOR-GENERATOR-PROMPT.md | reference | References validators-system/documentation/VALIDATOR-GENERATOR-PROMPT.md
project_generator/core/generator.py → .cursor/ai-driven-workflow | reference | References .cursor/ai-driven-workflow
project_generator/core/generator.py → .cursor/index.mdc | reference | References .cursor/index.mdc
project_generator/core/generator.py → .cursor/rules | reference | References .cursor/rules
project_generator/core/generator.py → .cursor/rules/ | reference | References .cursor/rules/
project_generator/core/generator.py → .cursor/rules/project-rules. | reference | References .cursor/rules/project-rules.
project_generator/core/generator.py → .cursor/tools | reference | References .cursor/tools
project_generator/core/generator.py → .cursor/tools/check_compliance.py | reference | References .cursor/tools/check_compliance.py
project_generator/core/generator.py → .cursor/tools/validate_rules.py | reference | References .cursor/tools/validate_rules.py
project_generator/core/generator.py → rules/client-specific-rules.mdc | reference | References rules/client-specific-rules.mdc
project_generator/core/generator.py → rules/industry-compliance- | reference | References rules/industry-compliance-
project_generator/core/generator.py → rules/project-rules. | reference | References rules/project-rules.
project_generator/core/generator.py → rules/project-workflow.mdc | reference | References rules/project-workflow.mdc
project_generator/core/tests/test_generator_unit.py → project_generator/core/generator.py | import | Imports project_generator.core.generator
project_generator/core/tests/test_generator_unit.py → project_generator/core/industry_config.py | import | Imports project_generator.core.industry_config
project_generator/core/tests/test_generator_unit.py → project_generator/core/validator.py | import | Imports project_generator.core.validator
project_generator/integrations/ai_governor.py → .cursor/AI_INSTRUCTIONS.md | reference | References .cursor/AI_INSTRUCTIONS.md
project_generator/integrations/ai_governor.py → .cursor/ai-driven-workflow/1-analyze-and-plan-prd.md | reference | References .cursor/ai-driven-workflow/1-analyze-and-plan-prd.md
project_generator/integrations/ai_governor.py → .cursor/ai-driven-workflow/2-create-actionable-plan.md | reference | References .cursor/ai-driven-workflow/2-create-actionable-plan.md
project_generator/integrations/ai_governor.py → .cursor/ai-driven-workflow/3-execute-tasks-parallel.md | reference | References .cursor/ai-driven-workflow/3-execute-tasks-parallel.md
project_generator/integrations/ai_governor.py → .cursor/ai-driven-workflow/4-retrospective-learnings.md | reference | References .cursor/ai-driven-workflow/4-retrospective-learnings.md
project_generator/integrations/ai_governor.py → .cursor/rules/ | reference | References .cursor/rules/
project_generator/integrations/ai_governor.py → .cursor/rules/client-specific-rules.mdc | reference | References .cursor/rules/client-specific-rules.mdc
project_generator/integrations/ai_governor.py → .cursor/rules/industry-compliance- | reference | References .cursor/rules/industry-compliance-
project_generator/integrations/ai_governor.py → .cursor/rules/master-rules/ | reference | References .cursor/rules/master-rules/
project_generator/integrations/ai_governor.py → .cursor/rules/master-rules/3-master-rule-code-quality-checklist.md | reference | References .cursor/rules/master-rules/3-master-rule-code-quality-checklist.md
project_generator/integrations/ai_governor.py → .cursor/rules/master-rules/4-master-rule-code-modification-safety-protocol.md | reference | References .cursor/rules/master-rules/4-master-rule-code-modification-safety-protocol.md
project_generator/integrations/ai_governor.py → ai-driven-workflow/1-analyze-and-plan-prd.md | reference | References ai-driven-workflow/1-analyze-and-plan-prd.md
project_generator/integrations/ai_governor.py → ai-driven-workflow/2-create-actionable-plan.md | reference | References ai-driven-workflow/2-create-actionable-plan.md
project_generator/integrations/ai_governor.py → ai-driven-workflow/3-execute-tasks-parallel.md | reference | References ai-driven-workflow/3-execute-tasks-parallel.md
project_generator/integrations/ai_governor.py → ai-driven-workflow/4-retrospective-learnings.md | reference | References ai-driven-workflow/4-retrospective-learnings.md
project_generator/integrations/ai_governor.py → rules/client-specific-rules.mdc | reference | References rules/client-specific-rules.mdc
project_generator/integrations/ai_governor.py → rules/industry-compliance- | reference | References rules/industry-compliance-
project_generator/integrations/ai_governor.py → rules/master-rules/ | reference | References rules/master-rules/
project_generator/integrations/ai_governor.py → rules/master-rules/3-master-rule-code-quality-checklist.md | reference | References rules/master-rules/3-master-rule-code-quality-checklist.md
project_generator/integrations/ai_governor.py → rules/master-rules/4-master-rule-code-modification-safety-protocol.md | reference | References rules/master-rules/4-master-rule-code-modification-safety-protocol.md
project_generator/tests/test_e2e/test_generated_projects.py → project_generator/core/generator.py | import | Imports project_generator.core.generator
